countryyearcode,SLE,countrycode,countryname,year,,region,regionname,incomelevel,incomelevelname,GRxGincSC2022,GRxGincSC2021,GDP per capita (constant 2015 US$),GRpcUNUWIDER 2022,GRpc UNU WIDER,Pop total,"Population ages 00-04, female","Population ages 00-04, male",Pop<5,"Population ages 15-19, female","Population ages 20-24, female","Population ages 25-29, female","Population ages 30-34, female","Population ages 35-39, female","Population ages 40-44, female","Population ages 45-49, female",Female Pop15-49,"Mortality rate, infant (per 1,000 live births)",INFANT SURVIVAL ,Number of infants surviving to 1yr,"Birth rate, crude (per 1,000 people)",Number of births,"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Maternal survival per 100,000 live births",Maternal survival rate %,"Mortality rate, under-5 (per 1,000 live births)",U5 survival rate (per 1000 live births),U5 survival %,Number of children surviving to five ,Number of maternal deaths,Number of under-five deaths,"School life expectancy, primary and secondary, both sexes (years)",School percent,People using at least basic drinking water services (% of population),People using safely managed drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),"Immunization, DPT (% of children ages 12-23 months)",Control of Corruption: Estimate,Government Effectiveness: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate,Out of school: Primary school,Out of school: Lower school,Out of school: Upper school,In school: Primary school,In school: Lower school,In school: Upper school
ABW1990,0,ABW,Aruba,1990,1000,LCN,Latin America and Caribbean,HIC,High income,,,25382.62,,,62152,2451,2947,5398,2083,2179,2758,3233,2963,2342,1795,17353,,,,19.571,1216.376792,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1991,0,ABW,Aruba,1991,1000,LCN,Latin America and Caribbean,HIC,High income,,,26355.96,,,64623,2497,2924,5421,2170,2319,2848,3306,3117,2521,1933,18214,,,,19.021,1229.194083,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1992,0,ABW,Aruba,1992,1000,LCN,Latin America and Caribbean,HIC,High income,,0.250582751,26427.16,,6622.190443,68240,2657,2991,5648,2260,2464,2996,3438,3316,2736,2124,19334,,,,18.446,1258.75504,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1993,0,ABW,Aruba,1993,1000,LCN,Latin America and Caribbean,HIC,High income,,0.24280557,26693.92,,6481.432458,72495,2919,3131,6050,2346,2578,3170,3612,3539,2973,2340,20558,,,,17.859,1294.688205,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1994,0,ABW,Aruba,1994,1000,LCN,Latin America and Caribbean,HIC,High income,,0.229192825,27298.55,,6256.631796,76705,3193,3274,6467,2419,2643,3333,3802,3754,3210,2555,21716,,,,17.27,1324.69535,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1995,0,ABW,Aruba,1995,1000,LCN,Latin America and Caribbean,HIC,High income,,0.243485618,26732.62,,6509.008491,80324,3379,3364,6743,2482,2656,3451,3988,3953,3429,2756,22715,,,,16.691,1340.687884,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1996,0,ABW,Aruba,1996,1000,LCN,Latin America and Caribbean,HIC,High income,0.304534413,0.304534413,26111.13,7951.737646,7951.737646,83211,3534,3509,7043,2566,2701,3427,4086,4138,3635,2926,23479,,,,16.132,1342.359852,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1997,0,ABW,Aruba,1997,1000,LCN,Latin America and Caribbean,HIC,High income,0.265645514,0.265645514,27218.76,7230.541497,7230.541497,85450,3589,3582,7171,2666,2710,3388,4125,4303,3833,3099,24124,,,,15.598,1332.8491,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1998,0,ABW,Aruba,1998,1000,LCN,Latin America and Caribbean,HIC,High income,0.266588393,0.266588393,27178.89,7245.576613,7245.576613,87280,3556,3601,7157,2794,2677,3366,4105,4454,4027,3276,24699,,,,15.09,1317.0552,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1999,11.8922,ABW,Aruba,1999,1000,LCN,Latin America and Caribbean,HIC,High income,0.290856031,0.290856031,26980.89,7847.554582,7847.554582,89009,3482,3593,7075,2937,2626,3356,4055,4585,4221,3463,25243,,,,14.615,1300.866535,,,,,,,,,,11.8922,69.95411765,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW2000,11.6526,ABW,Aruba,2000,1000,LCN,Latin America and Caribbean,HIC,High income,0.267968983,0.267968983,28442.52,7621.713158,7621.713158,90866,3413,3565,6978,3074,2601,3342,4005,4688,4425,3666,25801,,,,14.173,1287.843818,,,,,,,,,,11.6526,68.54470588,94.4888,,98.3202,,,,,,,,,0.04,0.09,0.09,0.96,0.91,0.91
ABW2001,11.6427,ABW,Aruba,2001,1000,LCN,Latin America and Caribbean,HIC,High income,0.266273932,0.266273932,28989.59,7719.172124,7719.172124,92892,3359,3488,6847,3202,2695,3304,3986,4722,4612,3865,26386,,,,13.762,1278.379704,,,,,,,,,,11.6427,68.48647059,94.7705,,98.2555,,,,,,,,,0.03,0.09,0.1,0.97,0.91,0.9
ABW2002,11.8508,ABW,Aruba,2002,1000,LCN,Latin America and Caribbean,HIC,High income,0.245045558,0.245045558,28077.19,6880.190693,6880.190693,94992,3293,3415,6708,3313,2838,3235,3998,4711,4803,4084,26982,,,,13.375,1270.518,,,,,,,,,,11.8508,69.71058824,95.0522,,98.1908,,,,,,,,,0.03,0.08,0.1,0.97,0.92,0.9
ABW2003,11.6777,ABW,Aruba,2003,1000,LCN,Latin America and Caribbean,HIC,High income,0.307980322,0.307980322,27799.58,8561.723614,8561.723614,97016,3221,3338,6559,3412,3000,3148,4025,4666,4973,4310,27534,,,,13.01,1262.17816,,,,,,,,,,11.6777,68.69235294,95.3339,,98.126,,,,,,,,,0.03,0.07,0.11,0.97,0.93,0.89
ABW2004,11.6603,ABW,Aruba,2004,1000,LCN,Latin America and Caribbean,HIC,High income,0.240336967,0.240336967,29301.76,7042.296135,7042.296135,98744,3149,3260,6409,3512,3138,3076,4026,4603,5091,4525,27971,,,,12.667,1250.790248,,,,,,,,,,11.6603,68.59,95.6155,,98.0613,,,1.184472,1.301713,0.9938546,0.7719577,0.9298062,0.7375207,0.02,0.07,0.11,0.98,0.93,0.89
ABW2005,11.5945,ABW,Aruba,2005,1000,LCN,Latin America and Caribbean,HIC,High income,0.245809659,0.245809659,28814.29,7082.830802,7082.830802,100028,3095,3205,6300,3611,3232,3035,3969,4538,5137,4711,28233,,,,12.348,1235.145744,,,,,,,,,,11.5945,68.20294118,95.8972,,97.9966,,,1.278153,1.292862,1.379847,0.8663251,0.8572026,1.15323,0.02,0.07,0.1,0.98,0.93,0.9
ABW2006,11.8531,ABW,Aruba,2006,1000,LCN,Latin America and Caribbean,HIC,High income,0.259511423,0.259511423,28910.66,7502.646509,7502.646509,100830,3101,3220,6321,3509,3227,3097,3831,4423,5100,4836,28023,,,,12.053,1215.30399,,,,,,,,,,11.8531,69.72411765,96.1789,,97.9318,,,1.259531,1.285327,1.305753,0.85605,0.820513,1.017273,0.01,0.06,0.1,0.99,0.94,0.9
ABW2007,12.1666,ABW,Aruba,2007,1000,LCN,Latin America and Caribbean,HIC,High income,0.251137075,0.251137075,29689.34,7456.094003,7456.094003,101226,3144,3267,6411,3437,3112,3155,3692,4304,4974,4929,27603,,,,11.788,1193.252088,,,,,,,,,,12.1666,71.56823529,96.4606,,97.8671,,,1.269965,1.252985,1.287163,0.877562,0.8393938,0.9721289,0.01,0.05,0.1,0.99,0.95,0.9
ABW2008,11.6316,ABW,Aruba,2008,1000,LCN,Latin America and Caribbean,HIC,High income,,,30193.11,,,101362,3208,3339,6547,3425,2910,3161,3596,4182,4783,5000,27057,,,,11.556,1171.339272,,,,,,,,,,11.6316,68.42117647,96.7423,,97.8024,,,1.288655,1.279326,1.319141,0.8945503,0.8558134,0.9671982,0.01,0.04,0.09,0.99,0.96,0.91
ABW2009,11.7765,ABW,Aruba,2009,1000,LCN,Latin America and Caribbean,HIC,High income,,,26641.82,,,101452,3258,3399,6657,3467,2685,3086,3560,4059,4584,5039,26480,,,,11.361,1152.596172,,,,,,,,,,11.7765,69.27352941,97.024,,97.7377,,,1.116361,1.500568,1.122499,1.291655,1.433195,1.252344,0.01,0.03,0.08,0.99,0.97,0.92
ABW2010,11.5808,ABW,Aruba,2010,1000,LCN,Latin America and Caribbean,HIC,High income,,,25859.51,,,101665,3257,3402,6659,3525,2506,2929,3559,3961,4412,5038,25930,,,,11.214,1140.07131,,,,,,,,,,11.5808,68.12235294,97.3057,,97.6729,,,1.127541,1.251488,1.100847,1.347078,1.423003,1.281884,0,0.02,0.07,1,0.98,0.93
ABW2011,11.2129,ABW,Aruba,2011,1000,LCN,Latin America and Caribbean,HIC,High income,,,26629.3,,,102050,3219,3345,6564,3640,2632,2805,3458,3886,4286,4973,25680,,,,11.123,1135.10215,,,,,,,,,,11.2129,65.95823529,97.5873,,97.6082,,,1.110036,1.242021,1.285738,1.32283,1.330773,1.273588,0,0.02,0.06,1,0.98,0.94
ABW2012,11.8032,ABW,Aruba,2012,1000,LCN,Latin America and Caribbean,HIC,High income,,,26221.26,,,102565,3115,3236,6351,3706,2851,2683,3358,3832,4199,4857,25486,,,,11.09,1137.44585,,,,,,,,,,11.8032,69.43058824,97.869,,97.5435,,,1.102628,1.254594,1.263882,1.408916,1.316149,1.28465,0,0.01,0.05,1,0.99,0.95
ABW2013,0,ABW,Aruba,2013,1000,LCN,Latin America and Caribbean,HIC,High income,,,27744.93,,,103165,2967,3088,6055,3733,3121,2582,3260,3785,4140,4709,25330,,,,11.111,1146.266315,,,,,,,,,,,,97.869,,97.5435,,,1.12658,1.227173,1.312226,1.429111,1.299672,1.278059,0,0.01,0.03,1,0.99,0.97
ABW2014,0,ABW,Aruba,2014,1000,LCN,Latin America and Caribbean,HIC,High income,,,27575.93,,,103776,2831,2954,5785,3740,3370,2543,3157,3729,4089,4564,25192,,,,11.179,1160.111904,,,,,,,,,,,,97.869,,97.5435,,,1.019108,0.8914645,1.164568,1.250432,1.038239,1.276822,0,0.01,0.03,1,0.99,0.97
ABW2015,0,ABW,Aruba,2015,1000,LCN,Latin America and Caribbean,HIC,High income,,,28399.05,,,104339,2753,2874,5627,3739,3551,2588,3047,3655,4032,4440,25052,,,,11.281,1177.048259,,,,,,,,,,,,97.869,,97.5435,,,1.29756,0.8832577,1.230921,1.371496,1.260903,1.273942,0,0.01,0.02,1,0.99,0.98
ABW2016,0,ABW,Aruba,2016,1000,LCN,Latin America and Caribbean,HIC,High income,,0.236659802,28854.71,,6828.749942,104865,2660,2780,5440,3725,3691,2721,2932,3570,3977,4337,24953,,,,11.404,1195.88046,,,,,,,,,,,,97.869,,97.5435,,,1.285871,0.8928662,1.284199,1.347553,1.261825,1.279368,0,0.01,0.02,1,0.99,0.98
ABW2017,0,ABW,Aruba,2017,1000,LCN,Latin America and Caribbean,HIC,High income,,0.219692864,30293.35,,6655.232809,105361,2682,2806,5488,3691,3761,2938,2801,3470,3920,4249,24830,,,,11.532,1215.023052,,,,,,,,,,,,,,,,,1.294589,0.9199638,1.335038,1.194347,1.335014,1.295541,0,0,0.01,1,1,0.99
ABW2018,0,ABW,Aruba,2018,1000,LCN,Latin America and Caribbean,HIC,High income,,0.226273552,30536.67,,6909.640787,105846,2785,2912,5697,3643,3778,3197,2688,3359,3860,4178,24703,,,,11.652,1233.317592,,,,,,,,,,,,,,,,,1.252447,1.056812,1.356553,0.8561839,1.297677,1.271613,0,0,0.01,1,1,0.99
ABW2019,0,ABW,Aruba,2019,1000,LCN,Latin America and Caribbean,HIC,High income,,0,29769.29,,0,106310,2898,3029,5927,3596,3769,3435,2641,3242,3791,4115,24589,,,,11.756,1249.78036,,,,,,,,,,,,,,,,,1.217546,1.029622,1.349796,0.8574405,1.26335,1.264411,0,0,0.01,1,1,0.99
ABW2020,0,ABW,Aruba,2020,1000,LCN,Latin America and Caribbean,HIC,High income,,0,23026.33,,0,106766,2973,3107,6080,3559,3759,3613,2682,3125,3712,4054,24504,,,,11.841,1264.216206,,,,,,,,,,,,,,,,,1.235405,1.129532,1.384053,0.9238698,1.306116,1.289108,0,0,0.01,1,1,0.99
ABW2021,,ABW,Aruba,2021,1000,LCN,Latin America and Caribbean,HIC,High income,,,,,,107195,3118,3256,6374,3523,3738,3735,2799,2999,3613,3984,24391,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0.01,1,1,0.99
AFG1980,3.65386,AFG,Afghanistan,1980,1000,SAS,South Asia,LIC,Low income,0.162758406,0.162758406,,0,0,13356500,1234896,1285490,2520386,674340,558666,462709,420632,329310,270884,223023,2939564,162.4,837.6,562961.3768,50.321,672112.4365,,,,243.6,756.4,75.64,508385.847,,155527,3.65386,21.49329412,,,,,4,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1981,4.02239,AFG,Afghanistan,1981,1000,SAS,South Asia,LIC,Low income,0.173118467,0.173118467,,0,0,13171679,1229802,1282321,2512123,662738,550380,453417,411196,326997,263263,215978,2883969,158.2,841.8,556724.4322,50.21,661350.0026,,,,237.2,762.8,76.28,504477.782,,150725,4.02239,23.66111765,,,,,3,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1982,1.67416,AFG,Afghanistan,1982,1000,SAS,South Asia,LIC,Low income,0.187356322,0.187356322,,0,0,12882518,1208248,1262344,2470592,646763,537175,443371,395484,325490,253564,207608,2809455,153.9,846.1,546063.114,50.098,645388.3868,,,,230.7,769.3,76.93,496497.2859,,145220,1.67416,9.848,,,,,5,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1983,0,AFG,Afghanistan,1983,1000,SAS,South Asia,LIC,Low income,0.198255814,0.198255814,,0,0,12537732,1176553,1231795,2408348,628933,521334,432975,376989,324197,243583,198802,2726813,149.6,850.4,532933.7712,49.984,626685.9963,,,,224.2,775.8,77.58,486182.9959,,139324,1.867965,10.98802941,,,,,5,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1984,2.06177,AFG,Afghanistan,1984,1000,SAS,South Asia,LIC,Low income,0.253469772,0.253469772,,0,0,12204306,1146754,1202387,2349141,612308,505856,422607,360394,321749,235834,190392,2649140,145.4,854.6,520081.9724,49.865,608567.7187,,,,217.5,782.5,78.25,476204.2399,,133190,2.06177,12.12805882,,,,,16,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1985,2.22078,AFG,Afghanistan,1985,1000,SAS,South Asia,LIC,Low income,0.305788566,0.305788566,,0,0,11938204,1132581,1187562,2320143,599334,492949,412862,348331,317550,231980,182913,2585919,141.3,858.7,509850.1848,49.735,593746.5759,,,,210.9,789.1,78.91,468525.4231,,127325,2.22078,13.06341176,,,,,15,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1986,2.27698,AFG,Afghanistan,1986,1000,SAS,South Asia,LIC,Low income,0.354124509,0.354124509,,0,0,11736177,1112761,1165417,2278178,589450,483167,403800,338370,309835,233136,178597,2536355,137.2,862.8,502106.5227,49.586,581950.0727,,,,204.4,795.6,79.56,462999.4779,,122025,2.27698,13.394,,,,,11,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1987,0,AFG,Afghanistan,1987,1000,SAS,South Asia,LIC,Low income,0.409965095,0.409965095,,0,0,11604538,1090079,1139193,2229272,585223,478091,397787,333302,301042,238717,175531,2509693,133,867,497201.1421,49.418,573473.0589,,,,197.7,802.3,80.23,460097.4351,,117478,2.510895,14.76997059,,,,,25,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1988,2.74481,AFG,Afghanistan,1988,1000,SAS,South Asia,LIC,Low income,0.387211631,0.387211631,,0,0,11618008,1079611,1125807,2205418,589119,479620,396630,333559,294059,247955,175215,2516157,128.9,871.1,498290.3171,49.236,572024.2419,,,,191.2,808.8,80.88,462653.2068,,114006,2.74481,16.14594118,,,,,35,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1989,2.57447,AFG,Afghanistan,1989,1000,SAS,South Asia,LIC,Low income,,,,0.7495226207142858,,11868873,1102086,1149397,2251483,604066,489812,402399,339324,292538,259357,179680,2567176,124.8,875.2,509492.8514,49.048,582144.4829,,,,184.7,815.3,81.53,474622.3969,,111593,2.57447,15.14394118,,,,,33,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1990,2.39348,AFG,Afghanistan,1990,1000,SAS,South Asia,LIC,Low income,,0,,1.4990452414285715,0,12412311,1178171,1234305,2412476,631182,509197,415684,350137,297978,271604,189926,2665708,120.8,879.2,533422.7393,48.88,606713.7617,,,,178.4,821.6,82.16,498476.0266,,110441,2.39348,14.07929412,,,,,25,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1991,2.58026,AFG,Afghanistan,1991,1000,SAS,South Asia,LIC,Low income,,0,,2.248567862142857,0,13299016,1255873,1322606,2578479,677440,546268,444389,371218,311726,285222,209859,2846122,117.1,882.9,572560.5769,48.763,648499.9172,,,,172.2,827.8,82.78,536828.2315,,110384,2.58026,15.178,,,,,23,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1992,0,AFG,Afghanistan,1992,1000,SAS,South Asia,LIC,Low income,,0,,2.998090482857143,0,14485543,1363550,1444555,2808105,737802,594618,483018,400169,333880,299978,236083,3085548,113.5,886.5,625493.4023,48.709,705576.314,,,,166.3,833.7,83.37,588238.973,,111348,2.6408750000000003,15.534558825000001,,,,,21,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1993,2.70149,AFG,Afghanistan,1993,1000,SAS,South Asia,LIC,Low income,,0,,3.7476131035714286,0,15816601,1491873,1588593,3080466,803971,648117,526324,432910,360408,314191,264338,3350259,110.1,889.9,685701.1886,48.717,770537.3509,,,,160.7,839.3,83.93,646711.9986,,113046,2.70149,15.89111765,,,,,18,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1994,3.68653,AFG,Afghanistan,1994,1000,SAS,South Asia,LIC,Low income,,0,,4.497135724285714,0,17075728,1614382,1722312,3336694,866137,699537,568090,464861,386203,327258,288612,3600698,106.9,893.1,743758.7246,48.77,832783.2546,,,,155.5,844.5,84.45,703285.4585,,115248,3.68653,21.68547059,,,,,12,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1995,3.81443,AFG,Afghanistan,1995,1000,SAS,South Asia,LIC,Low income,,0,,5.246658345,0,18110662,1703418,1811602,3515020,918845,744539,604642,493331,408266,339432,305389,3814444,103.9,896.1,792541.4676,48.835,884434.1788,,,,150.6,849.4,84.94,751238.3914,,117726,3.81443,22.43782353,,,,,20,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1996,0,AFG,Afghanistan,1996,1000,SAS,South Asia,LIC,Low income,,0,,5.996180965714286,0,18853444,1797629,1902997,3700626,949325,771601,628087,512435,423254,348600,313601,3946903,101,899,828309.6596,48.87,921367.8083,,,,146,854,85.4,786848.1083,,120114,3.510766666666667,20.651568628333333,,,,,31,-1.291705,-2.175167,-2.414042,-2.09033,-1.788075,-1.90854,NaN,NaN,NaN,NaN,NaN,NaN
AFG1997,0,AFG,Afghanistan,1997,1000,SAS,South Asia,LIC,Low income,,0,,6.745703586428571,0,19357126,1870304,1968573,3838877,969774,788280,643197,525716,433024,355871,314344,4030206,98.2,901.8,852441.3603,48.833,945266.534,,,,141.5,858.5,85.85,811511.3194,,122200,3.2071033333333334,18.865313726666667,,,,,28,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG1998,0,AFG,Afghanistan,1998,1000,SAS,South Asia,LIC,Low income,,0,,7.495226207142857,0,19737770,1924274,2012436,3936710,987312,799543,653960,536299,440462,362844,311577,4091997,95.6,904.4,869121.6584,48.688,960992.5458,,,,137.3,862.7,86.27,829048.2692,,123907,2.9034400000000002,17.079058825,,,,,27,-1.180848,-2.135942,-2.422996,-2.087256,-1.73714,-2.039301,NaN,NaN,NaN,NaN,NaN,NaN
AFG1999,0,AFG,Afghanistan,1999,1000,SAS,South Asia,LIC,Low income,,0,,8.244748827857142,0,20170847,1975653,2056341,4031994,1010071,812395,665518,548005,449339,371111,310585,4167024,93,907,885823.5825,48.419,976652.2409,,,,133.2,866.8,86.68,846562.1624,,125086,2.599776666666667,15.292803923333334,,,,,27,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AFG2000,0,AFG,Afghanistan,2000,1000,SAS,South Asia,LIC,Low income,,0,,8.994271448571428,0,20779957,2042084,2124163,4166247,1042985,831930,680892,562956,461895,381650,314363,4276671,90.5,909.5,907566.6896,48.021,997874.3151,1450,"98,550",98.55,129.2,870.8,87.08,868948.9536,15000,125549,2.2961133333333335,13.506549021666666,28.1714,10.9275,21.8708,,24,-1.29538,-2.231651,-2.440187,-2.109626,-1.778437,-2.031417,0.4,0.74,0.89,0.6,0.26,0.11
AFG2001,1.99245,AFG,Afghanistan,2001,1000,SAS,South Asia,LIC,Low income,,0,,9.743794069285714,0,21606992,2117822,2206822,4324644,1097408,872941,706185,581745,476888,393279,321409,4449855,87.9,912.1,936216.0653,47.505,1026440.155,1390,"98,610",98.61,125.2,874.8,87.48,897929.8476,15000,125380,1.99245,11.72029412,28.1994,10.9388,21.8813,,33,,,,,,,0.34,0.72,0.88,0.66,0.28,0.12
AFG2002,0,AFG,Afghanistan,2002,1000,SAS,South Asia,LIC,Low income,0.03280729,0.03280729,319.8471,10.49331669,10.49331669,22600774,2192082,2294431,4486513,1159383,925744,739136,605491,496335,407817,333052,4666958,85.3,914.7,969580.9951,46.901,1059998.901,1300,"98,700",98.7,121.1,878.9,87.89,931633.0344,14000,124472,4.173555,24.55032353,30.2364,11.7254,23.2742,,36,-1.263366,-1.567973,-2.035389,-1.804449,-1.670823,-1.433421,0.27,0.69,0.87,0.73,0.31,0.13
AFG2003,6.35466,AFG,Afghanistan,2003,1000,SAS,South Asia,LIC,Low income,0.046672281,0.046672281,332.22,15.50546524,15.50546524,23680871,2263921,2383159,4647080,1223433,986602,778004,632340,518358,424002,347382,4910121,82.7,917.3,1004251.185,46.231,1094790.347,1240,"98,760",98.76,116.9,883.1,88.31,966809.3556,14000,123034,6.35466,37.38035294,32.2737,12.5121,24.6674,,41,-1.351042,-1.082488,-2.197809,-1.430002,-1.553829,-1.177571,0.23,0.65,0.86,0.77,0.35,0.14
AFG2004,7.33391,AFG,Afghanistan,2004,1000,SAS,South Asia,LIC,Low income,0.051903691,0.051903691,322.668,16.74766012,16.74766012,24726689,2328328,2461025,4789353,1283402,1048797,820393,660084,540340,440294,361661,5154971,80,920,1035218.441,45.507,1125237.436,1180,"98,820",98.82,112.6,887.4,88.74,998535.701,13000,121027,7.33391,43.14064706,34.3286,13.306,26.0677,,50,-1.345281,-0.8940507,-2.296179,-1.505863,-1.697143,-1.203034,0.2,0.6,0.85,0.8,0.4,0.15
